호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
7,2723,면목,6853124,32571,929898,807090,1043520,1065484,1083346,966058,957728
7,2724,사가정,6923153,32741,976673,849870,1028829,1034099,1066606,970099,996977
7,2725,용마산,2659485,12562,374711,321531,394053,398182,410784,374471,385753
7,2726,중곡,4247196,20008,601654,517760,627952,630367,646009,597702,625752
7,2727,군자(7),5703429,26857,825249,698249,840360,843233,857177,796928,842233
7,2728,어린이대공원,6739437,32893,767953,671576,1095558,1201134,1258522,958892,785802
7,2729,건대입구(7),7243600,34376,1017026,884843,1114595,1067581,1125447,1012455,1021653
7,2730,뚝섬유원지,4011436,18978,434978,385784,496880,637853,854238,625240,576463
7,2731,청담,8880674,41806,1308555,1075177,1295954,1331681,1338220,1217362,1313725
7,2732,강남구청,6689754,31448,980057,802269,977457,995296,1008723,928293,997659
7,2733,학동,9262623,43490,1394383,1113727,1344574,1380925,1380876,1257230,1390908
7,2734,논현,8455100,39628,1272566,1028376,1221938,1242691,1252265,1154789,1282475
7,2735,반포,2788558,13132,388998,333097,407999,414877,433277,398553,411757
7,2736,고속터미널(7),8266250,39118,1200218,1091379,1203247,1187192,1245421,1153031,1185762
7,2737,내방,6051361,28500,885203,728183,885701,906637,922205,830632,892800
7,2738,이수(7),7221314,33932,1044225,882908,1056816,1050461,1086106,1021112,1079686
7,2739,남성,4918014,23240,698776,592595,736516,738793,753268,686503,711563
7,2740,숭실대입구,6528689,31511,825791,686776,1085778,1092398,1104305,908374,825267
7,2741,상도,4980595,23639,646447,555003,776144,777402,808188,715626,701785
7,2742,장승배기,4662303,21990,674619,574098,688746,693147,701554,648045,682094
7,2743,신대방삼거리,7131200,33619,1024387,865397,1052897,1067622,1081724,992947,1046226
7,2744,보라매,4164070,19624,583076,490221,611247,630930,651058,585541,611997
7,2745,신풍,5007401,23611,703386,602297,740124,747767,768173,711945,733709
